City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,newman,37.3138,-121.0208,16.8,11,100,0.79,US,1686412668
1,bethel,41.3712,-73.414,22.45,60,0,4.12,US,1686412669
2,luderitz,-26.6481,15.1594,15.5,77,0,3.71,NA,1686412669
3,taoudenni,22.6783,-3.9836,43.79,8,1,6.72,ML,1686412669
4,port hueneme,34.1478,-119.1951,19.37,92,100,2.57,US,1686412643
5,hamilton,39.1834,-84.5333,28.12,38,20,3.09,US,1686412669
6,longyearbyen,78.2186,15.6401,3.91,87,75,1.54,SJ,1686412669
7,iqaluit,63.7506,-68.5145,2.85,86,100,9.77,CA,1686412669
8,waitangi,-43.9535,-176.5597,11.01,90,27,6.09,NZ,1686412669
9,darwin,-12.4611,130.8418,22.99,83,60,1.03,AU,1686412506
10,vargashi,55.3556,65.8467,15.69,57,30,3.04,RU,1686412669
11,east london,-33.0153,27.9116,17.14,58,1,1.76,ZA,1686412670
12,mount pearl,47.5166,-52.7813,10.25,98,100,2.57,CA,1686412403
13,blackmans bay,-43.0167,147.3167,10.85,79,68,2.56,AU,1686412670
14,port-aux-francais,-49.35,70.2167,4.17,59,78,11.26,TF,1686412670
15,adamstown,-25.066,-130.1015,20.57,56,75,6.48,PN,1686412670
16,isafjordur,66.0755,-23.124,8.02,53,75,2.57,IS,1686412670
17,ushuaia,-54.8,-68.3,4.81,75,40,10.8,AR,1686412670
18,alajarvi,63.0,23.8167,17.56,27,22,1.75,FI,1686412670
19,avarua,-21.2078,-159.775,22.03,100,40,1.54,CK,1686412670
20,fort bragg,35.139,-79.006,28.03,34,0,1.54,US,1686412671
21,sumenep,-7.0167,113.8667,26.67,83,51,4.49,ID,1686412671
22,whitehorse,60.7161,-135.0538,11.72,61,20,5.14,CA,1686412671
23,mutuipe,-13.2286,-39.5047,29.9,44,11,3.19,BR,1686412671
24,salinopolis,-0.6136,-47.3561,28.13,79,70,5.24,BR,1686412671
